segment_tag,name,region,phone,email,description,site,rating_ref,source,inn,revenue_year,revenue,okved_main,employees
COMM_GROUP,emg,Москва,+7 (495) 797-86-64,emg@emg.ru,"emg — одно из крупнейших российских агентств, занимающееся организацией интегрированных маркетинговых коммуникаций, масштабных BTL-акций, рекламных и PR-кампаний.",http://emg.ru,https://www.alladvertising.ru/top100/,checko,7701632924,2024 год,719600000.0,Деятельность рекламных агентств73.11,203.0
COMM_GROUP,OPEN Group,Москва,+7 (499) 649-00-80,sales@open-com.ru,"Агентство маркетинговых коммуникаций OPEN специализируется в области немедийных коммуникаций и предоставляет полный комплекс интегрированных маркетинговых услуг: мерчандайзинг и промо-активности в местах продаж, торговый маркетинг, организация мероприятий, продвижение в digital-среде.

Агентство активно внедряет инновационные технологии в управление персоналом и мерчандайзинг.",https://open-com.ru,https://www.alladvertising.ru/top100/,checko,7725693725,2024 год,9000000000.0,Деятельность по розничной торговле большим товарным ассортиментом с преобладанием продовольственных товаров в неспециализированных магазинах47.11.3,5619856.0
BTL,Creon,Москва,+7 (499) 372-32-31,info@creon-cg.com,"Агентство CREON реализует проекты в сфере рекламы и маркетинга: разрабатывает креативные концепции, организует масштабные федеральные и локальные BTL-мероприятия, реализует NCP-проекты, интегрирует бренды в мероприятия и т.д.",https://creon-cg.com,https://www.alladvertising.ru/top100/,checko,7734351301,2024 год,262500000.0,Деятельность рекламных агентств73.11,103.0
COMM_GROUP,АЛИДИ Продвижение,Москва,8 800 775-75-00,agency@alidi.ru,"Агентство «АЛИДИ Продвижение» специализируется на маркетинговых и рекламных акциях по продвижению брендов в местах продаж — от разработки креативных концепций и производства POS-материалов до подбора персонала, услуг мерчандайзинга, обеспечения логистики и монтажа оборудования.",https://alidi-agency.ru,https://www.alladvertising.ru/top100/,checko,7801379087,2024 год,1600000000.0,Деятельность рекламных агентств73.11,6178.0
COMM_GROUP,Хорошие люди,Москва,+7 (495) 230-24-56,info@horoshie-ludi.ru,"BTL-агентство «Хорошие люди» специализируется на предоставлении услуг в сфере BTL с использованием полного спектра инструментов: дегустации, раздача образцов и листовок, открытия магазинов, «таинственный покупатель», аудит и мерчандайзинг, стимулирующие розыгрыши призов.",https://www.horoshie-ludi.ru,https://www.alladvertising.ru/top100/,checko,7723860427,2024 год,317400000.0,Деятельность рекламная73.1,71.0
BTL,Ambitica,Москва,+7 (495) 363-14-14,info@ambitica.ru,"Агентство Ambitica занимается организацией рекламных кампаний в торгово-развлекательных и бизнес-центрах: экспонирование автомобилей и размещение нестандартных конструкций, реклама на цифровых экранах и стендах, реклама в холлах и лифтовых кабинах; проведение промо-акций и т.д.",https://www.ambitica.ru,https://www.alladvertising.ru/top100/,checko,7701095966,2024 год,830800000.0,Деятельность рекламных агентств73.11,236.0
BTL,BrandNew,Москва,+7 (495) 748-59-55,info@progressiongroup.ru,"Агентство BrandNew предлагает спектр услуг по организации специальных мероприятий для привлечения аудитории и стимулирования продаж: промо-акции, активации, мотивационные программы, спецпроекты в социальных сетях и Digital PR.",https://www.brandnew.ru,https://www.alladvertising.ru/top100/,checko,7703254428,2024 год,1100000000.0,Деятельность рекламных агентств73.11,298.0
COMM_GROUP,Merchandising Solutions,Москва,+7 (495) 297-97-78,info@merchandisingsolutions.ru,Агентство «Мерчандайзинг Солюшнс» оказывает полный комплекс услуг по продвижению продукции в федеральных и региональных торговых розничных сетях.,https://www.merchandisingsolutions.ru,https://www.alladvertising.ru/top100/,checko,7710865717,2024 год,4600000000.0,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки82.99",403230.0
BTL,Master In,Санкт-Петербург,+7 (495) 255-06-07,sale@master-in.ru,"Агентство «Мастер Ин» специализируется на проведении рекламных кампаний в бизнес-центрах и ВУЗах по всей России, а также предлагает услуги по организации промо-акций, размещению рекламы на транспорте, распространению печатной рекламной продукции, размещению нестандартных рекламных носителей.",https://master-in.ru,https://www.alladvertising.ru/top100/,checko,7813604450,2024 год,518299999.0,Деятельность рекламных агентств73.11,92.0
COMM_GROUP,Progression Group,Москва,+7 (495) 748-59-60,info@progressiongroup.ru,"Одна из крупнейших независимых групп на российском рекламном рынке, специализирующаяся на решении стратегических задач в области маркетинга, медиапланирования, BTL и мерчандайзинга, digital-коммуникаций.",https://progressiongroup.ru,https://www.alladvertising.ru/top100/,checko,7725641460,2024 год,555100000.0,Деятельность рекламных агентств73.11,354.0
COMM_GROUP,RED Agency,Москва,+7 (495) 787-25-87,blue@red-agency.ru,"Агентство RED — это опытные специалисты российской BTL-индустрии, специализирующиеся на торговом маркетинге, организации промо-акций и мерчендайзинге в ритейле.

Компания осуществляет полный спектр услуг в сфере BTL — от разработки стандартов мерчендайзинга, программ лояльности и промо-акций до сложных интегрированных проектов.",https://red-agency.ru,https://www.alladvertising.ru/top100/,checko,7714871694,2024 год,361400000.0,Деятельность рекламных агентств73.11,91.0
BTL,Level Agency,Москва,+7 (495) 122-22-69,info@level-agency.com,"Event-агентство Level оказывает полный спектр услуг в сфере организации деловых и развлекательных событий, маркетинговых и PR-акций, внутренних и внешних коммуникаций, включая продакшн и продвижение в цифровой среде.",https://level-agency.com,https://www.alladvertising.ru/top100/,checko,9703149508,2024 год,3600000000.0,Торговля оптовая фруктами и овощами46.31,32.0
COMM_GROUP,SEVEN,Москва,+7 (495) 748-59-59,info@7-agency.ru,"Одно из крупнейших агентств в области трейд-маркетинга на российском рынке, предоставляющее на федеральном уровне комплекс качественных услуг в области полевого маркетинга, мерчандайзинга и размещения POSM.",https://7-agency.ru/ru,https://www.alladvertising.ru/top100/,checko,7725611120,2024 год,1200000000.0,Деятельность рекламных агентств73.11,323.0
FULL_CYCLE,Группа АДВ,Москва,+7 (499) 707-07-07,info@advgroup.ru,"Лидирующая группа маркетинговых коммуникаций в России, предоставляющая широкий спектр компетенций в digtial, медиа, маркетинге, брендинге и PR. Сегодня Группа АДВ объединяет 12 специализированных коммуникационных агентства.",https://advgroup.ru,https://www.alladvertising.ru/top100/,checko,7725684505,2024 год,706100000.0,Консультирование по вопросам коммерческой деятельности и управления70.22,493.0
FULL_CYCLE,Deltaplan,Екатеринбург,+7 (343) 222-07-07,office@delta-plan.ru,"Агентства группы Deltaplan предоставляют полный комплекс рекламных услуг: медиапланирование и размещение рекламы во всех видах медиа; разработка коммуникационных стратегий; креатив и продакшн; брендинг и нейминг; digital-продвижение, немедийные коммуникации, широкоформатная печать.",https://www.delta-plan.ru,https://www.alladvertising.ru/top100/,checko,6662126172,2024 год,1400000000.0,Деятельность рекламных агентств73.11,422.0
COMM_GROUP,Eventum Premo,Москва,+7 (495) 785-84-46,go@eventum-premo.ru,"Компания Eventum Premo занимает одно из лидирующих мест в сфере корпоративных и маркетинговых коммуникаций. Агентство специализируется на организации и проведении крупномасштабных мероприятий, создании инсталляций и пространственных интеграций, PR и поддержке участия в выставках, продвижении в цифровой среде.",https://eventum-premo.ru,https://www.alladvertising.ru/top100/,checko,7701752869,2024 год,932000000.0,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки82.99",172.0
FULL_CYCLE,Young Capital,Москва,+7 (495) 969-51-35,New_business@youngcapital.ru,"Рекламное агентство Young Capital (ранее — Young&Rubicam) обладает огромной экспертизой и реализует масштабные проекты во всех видах медиа, сочетая аналитический подход и креативные решения.",http://www.youngcapital.ru,https://www.alladvertising.ru/top100/,checko,7706185814,2024 год,235300000.0,Деятельность рекламных агентств73.11,326.0
FULL_CYCLE,AGIMA,Москва,+7 (495) 981-01-85,info@agima.ru,"Полносервисное агентство интернет-маркетинга, специализирующееся на реализации сложных IT-решений, разработке мобильных приложений, создании сайтов и рекламе в интернете, SEO, SMO, комплексной поддержке интернет-проектов.",https://www.agima.ru,https://www.alladvertising.ru/top100/,checko,7707380198,2024 год,1400000000.0,Разработка компьютерного программного обеспечения62.01,20562.0
FULL_CYCLE,MullenLowe,Москва,+7 (495) 221-72-32,info@mullenlowe.ru,"MullenLowe — одно из крупнейших креативных агентств в России, предоставляющих полный цикл услуг в сфере позиционирования и стратегии, креативных разработок и продвижения брендов в традиционных и цифровых медиа.",https://mullenlowe.ru,https://www.alladvertising.ru/top100/,checko,7704231166,2024 год,421100000.0,Деятельность рекламных агентств73.11,296.0
FULL_CYCLE,Group4Media,Москва,+7 (495) 641-40-80,info@group4m.ru,"Group4Media – это крупнейший российский холдинг по управлению медиа-инвестициями, включающий агентства Mediamind, Mediasystem и Mediamaker.",http://group4m.ru,https://www.alladvertising.ru/top100/,checko,7731644420,2024 год,500800000.0,Деятельность рекламных агентств73.11,6511.0
COMM_GROUP,Sobytie Communications,Москва,+7 (495) 741-36-01,info@so-bytie.ru,"Коммуникационная группа «Событие» оказывает весь спектр услуг на рынке маркетинговых коммуникаций: от разработки комплексных стратегий и креативных концепций до реализации медийных кампаний, PR, Event- и BTL-проектов.",https://so-bytie.ru,https://www.alladvertising.ru/top100/,checko,7717582845,2024 год,571000000.0,Деятельность в области отдыха и развлечений93.2,193.0
FULL_CYCLE,Группа «КБ-12»,Москва,+7 (499) 391-96-04,request@kb-12.com,"Группа компаний «КБ-12» специализируется на технологиях и креативе в маркетинге, веб-разработке и performance-маркетинге.",https://kb-12.com,https://www.alladvertising.ru/top100/,checko,7712098655,2018 год,589200000.0,Деятельность холдинговых компаний64.2,
FULL_CYCLE,Менделеев,Тюмень,8 800 222-20-90,sales@mendeleevm.ru,"Коммуникационное агентство «МЕНДЕЛЕЕВ» предлагает экспертизу в интернет-маркетинге, веб-разработке, PR и GR, дизайне и продакшне. Команда агентства проводит исследования и разрабатывает стратегии, создаёт дизайн и контент, предлагает актуальные инструменты для продвижения бизнеса.",https://xn--b1adcbaa4bek.xn--p1ai,https://www.alladvertising.ru/top100/,checko,6679090573,2024 год,640200000.0,Торговля оптовая металлами и металлическими рудами46.72,47.0
COMM_GROUP,MAXIMICE,Москва,+7 (495) 739-33-58,info@maximice.ru,"Организация бизнес-мероприятий — внутрикорпоративные, партнерские и клиентские мероприятия; нестандартные развлекательные и деловые события; презентации и роад-шоу; тимбилдинги и индивидуальные поездки; региональные программы и пресс-конференции и т.д.",https://maximice.ru,https://www.alladvertising.ru/top100/,checko,7704628250,2024 год,2000000000.0,Деятельность по организации конференций и выставок82.3,514.0
SOUVENIR,Grata Adv,Москва,+7 (495) 961-00-06,grata@grata-adv.ru,"Коммуникационное агентство полного цикла Grata Adv занимается организацией деловых, корпоративных и развлекательных мероприятий, реализацией и сопровождением выставочных проектов.",https://grata-adv.ru,https://www.alladvertising.ru/top100/,checko,7727713286,2024 год,236800000.0,Деятельность по организации конференций и выставок82.3,103.0
COMM_GROUP,OTIDO Group,Санкт-Петербург,+7 (812) 677-55-01,spb@otido-group.ru,"Компания OTIDO предоставляет широкий спектр оборудования для технического обеспечения мероприятий в Москве и Санкт-Петербурге: аренда шатров и мебели, сценические конструкции, световое и звуковое оборудование, кейтеринг и элементы декора, а так же оказывает сопутствующие услуги по организации событий.",https://otido-group.ru,https://www.alladvertising.ru/top100/,checko,7810429305,2024 год,230900000.0,Прокат и аренда товаров для отдыха и спортивных товаров77.21,7.0
COMM_GROUP,ИнтелСпорт,Москва,+7 (495) 514-42-32,office@intelsport.ru,"Компания специализируется на проведении корпоративных турниров по интеллектуальным и спортивным играм, а также на организации различных спортивных мероприятий и тимбилдинге. Агентство оказывает весь комплекс услуг по креативному и техническому обеспечению мероприятий.",https://intelsport.ru,https://www.alladvertising.ru/top100/,checko,7701729274,2024 год,296400000.0,Деятельность в области спорта93.1,4.0
COMM_GROUP,Redday event,Москва,+7 (495) 180-04-20,info@redday.ec,"Событийное агентство Redday event специализируется на организации масштабных мероприятий: корпоративные праздники, конференции, презентации, официальные встречи и т.д.",https://redday.events,https://www.alladvertising.ru/top100/,checko,7743770718,2024 год,945700000.0,Деятельность в области исполнительских искусств90.01,158.0
COMM_GROUP,Атомэкспо,Москва,+7 (499) 922-89-95,mail@atomexpo.com,"Компания «Атомэкспо» предлагает комплекс услуг в сфере организационной поддержки выставок, презентаций и других деловых мероприятий — от разработки концепции, подбора и оформления площадки до привлечения участников и информационной поддержки.",https://atomexpo.com,https://www.alladvertising.ru/top100/,checko,7701597035,2024 год,2200000000.0,Деятельность по организации конференций и выставок82.3,646.0
SOUVENIR,ADMOS,Москва,+7 (495) 646-15-10,zapros@admos.ru,Компания ADMOS специализируется на разработке концепций промо- и бизнес-подарков; оказывает услуги в области производства сувенирной продукции; занимается оформлением и производством печатных и POS-материалов.,https://admos-gifts.ru,https://www.alladvertising.ru/top100/,checko,7720688104,2024 год,1300000000.0,Прочие виды полиграфической деятельности18.12,10214.0
