link,segment_tag,name,region,phone,email,description,site,rating_ref
https://www.alladvertising.ru/info/emg.html,COMM_GROUP,emg,Москва,+7 (495) 797-86-64,emg@emg.ru,"emg — одно из крупнейших российских агентств, занимающееся организацией интегрированных маркетинговых коммуникаций, масштабных BTL-акций, рекламных и PR-кампаний.",http://emg.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/open_group.html,COMM_GROUP,OPEN Group,Москва,+7 (499) 649-00-80,sales@open-com.ru,"Агентство маркетинговых коммуникаций OPEN специализируется в области немедийных коммуникаций и предоставляет полный комплекс интегрированных маркетинговых услуг: мерчандайзинг и промо-активности в местах продаж, торговый маркетинг, организация мероприятий, продвижение в digital-среде.

Агентство активно внедряет инновационные технологии в управление персоналом и мерчандайзинг.",https://open-com.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/creon.html,BTL,Creon,Москва,+7 (499) 372-32-31,info@creon-cg.com,"Агентство CREON реализует проекты в сфере рекламы и маркетинга: разрабатывает креативные концепции, организует масштабные федеральные и локальные BTL-мероприятия, реализует NCP-проекты, интегрирует бренды в мероприятия и т.д.",https://creon-cg.com,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/bm_group.html,BTL,BM Group,Москва,+7 (495) 150-16-14,info@bm-technology.ru,"Компания занимается разработкой и производством инновационных средств коммуникации, интерактивного и проекционного оборудования, сенсорных киосков, выставочных стендов и мультимедийных решений для презентаций.",https://bm-technology.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/now_agency.html,SOUVENIR,N:OW,Москва,+7 953 435-91-63,hello@now-agency.ru,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",https://now-agency.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/sport_media_alliance.html,BTL,Sport Media Alliance,Санкт-Петербург,+7 (812) 644-60-44,sales@sma-russia.ru,"SMA — федеральный оператор по размещению рекламы на территории фитнес-клубов. Кроме того, агентство оказывает услуги по проведению промо-акций, семплингов, лифлетингов; организации нестандартных рекламных кампаний на территории фитнес-сетей и спортивных клубов в крупнейших городах России.",http://sma-russia.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/alidi.html,COMM_GROUP,АЛИДИ Продвижение,Москва,8 800 775-75-00,agency@alidi.ru,"Агентство «АЛИДИ Продвижение» специализируется на маркетинговых и рекламных акциях по продвижению брендов в местах продаж — от разработки креативных концепций и производства POS-материалов до подбора персонала, услуг мерчандайзинга, обеспечения логистики и монтажа оборудования.",https://alidi-agency.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/horoshie_ludi.html,COMM_GROUP,Хорошие люди,Москва,+7 (495) 230-24-56,info@horoshie-ludi.ru,"BTL-агентство «Хорошие люди» специализируется на предоставлении услуг в сфере BTL с использованием полного спектра инструментов: дегустации, раздача образцов и листовок, открытия магазинов, «таинственный покупатель», аудит и мерчандайзинг, стимулирующие розыгрыши призов.",https://www.horoshie-ludi.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/ambitica.html,BTL,Ambitica,Москва,+7 (495) 363-14-14,info@ambitica.ru,"Агентство Ambitica занимается организацией рекламных кампаний в торгово-развлекательных и бизнес-центрах: экспонирование автомобилей и размещение нестандартных конструкций, реклама на цифровых экранах и стендах, реклама в холлах и лифтовых кабинах; проведение промо-акций и т.д.",https://www.ambitica.ru,https://www.alladvertising.ru/top100/
https://www.alladvertising.ru/info/ri_communication.html,COMM_GROUP,RI Communication,Санкт-Петербург,+7 (495) 846-84-95,info@ricommunication.ru,"Весь спектр услуг в сфере событийного, торгового и потребительского маркетинга на территории России: взаимодействие с торговыми сетями и ведение взаиморасчетов с поставщиками услуг, организация промо-акций и проведение масштабных мероприятий, мотивационные программы, исследование рынка и аудит, разработка креативных сценариев и кадровый аутсорсинг.",https://ricommunication.ru,https://www.alladvertising.ru/top100/
